Index,Ticker,AveragePriceTarget,NumRatings,ClosingPrice,MarketCap,ExpectedGrowthRate,OverallRecommendation,ProjectedMarketCap,TotalRevenue,NormEBITDA,ReturnOnAssets,ChangeNormEBITDA,ChangeRevenue,OperatingCashFlow,ChangeOCF,Sector
0,A,166.5,14,138.09,40884581395.75195,0.206,1,49306805163.276855,6848000000.0,1985000000.0,0.10102,80000000.0,529000000.0,1353000000.0,41000000.0,Healthcare
1,AA,50.0,11,39.43,7032538019.869629,0.268,1,8917258209.194689,12451000000.0,2142000000.0,0.059310004,-231000000.0,299000000.0,822000000.0,0.0,Basic Materials
2,AAN,16.0,5,9.54,293645968.8258171,0.677,1,492444289.7208953,2249434000.0,734550000.0,0.0636,0.0,403930000.0,170432000.0,0.0,Industrials
3,AAOI,3.4,4,2.11,61301615.9522295,0.611,1,98756903.29904172,222818000.0,-35434000.0,-0.085480005,24643000.0,11253000.0,-14022000.0,0.0,Technology
4,AAP,155.0,17,120.21,7122887222.751617,0.289,1,9181401630.126837,11154722000.0,990955000.0,0.03891,0.0,156733000.0,722222000.0,0.0,Consumer Cyclical
6,ABCM,19.0,5,12.62,2893892173.757553,0.506,1,4358201613.678875,315400000.0,47400000.0,0.032679997,0.0,46300000.0,28700000.0,0.0,Healthcare
7,ABG,240.0,6,194.67,4308650536.473084,0.233,1,5312566111.471313,15433900000.0,1341600000.0,0.09927,0.0,5596200000.0,696000000.0,0.0,Consumer Cyclical
8,ABNB,144.5,18,115.34,71018869876.95117,0.253,1,88986643955.81982,8399000000.0,2183000000.0,0.079569995,0.0,2407240000.0,3430000000.0,0.0,Consumer Cyclical
11,ABST,16.0,5,8.14,428792426.0852814,0.966,1,843005909.6836631,197311000.0,18785000.0,0.00418,769000.0,76527000.0,41783000.0,1991000.0,Technology
12,ABUS,6.0,4,2.9,471455938.7039795,1.069,1,975442337.1785336,39019000.0,-59604000.0,-0.19761999,1427000.0,28031000.0,-35356000.0,0.0,Healthcare
13,ACA,73.0,4,58.29,2823386945.3453064,0.252,1,3534880455.572324,2242800000.0,315600000.0,0.03063,3300000.0,206400000.0,174300000.0,0.0,Industrials
14,ACAD,21.0,17,18.28,2965564511.3945007,0.149,1,3407433623.5922813,517235000.0,-221570000.0,-0.21701,2026000.0,33090000.0,-114035000.0,0.0,Healthcare
15,ACB,1.4,8,0.65,211159459.00034145,1.154,1,454837474.68673545,221339000.0,-187275000.0,-0.08262,-44186000.0,-23913000.0,-157395000.0,-47557000.0,Healthcare
